mean_speed_kmh,bus_type,level_of_loading,incline,t_amb,consumption_kwh_per_km,total_energy,heating_energy,heating_energy_el,ventilation_energy,other_energy,aux_energy,traction_power_fr_bat_wout_recup,traction_power_fr_bat_w_recup,recuperation_energy,traction_power_loss,energy_loss,distance
2.626,lle_99,0,-0.04,-20,6.93,0.418,0.339,0.339,0.01,0.039,0.387,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,-15,5.958,0.359,0.283,0.283,0.01,0.039,0.331,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,-10,5.004,0.302,0.229,0.229,0.01,0.039,0.277,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,-5,4.069,0.246,0.175,0.175,0.01,0.039,0.223,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,0,3.508,0.212,0.143,0.143,0.01,0.039,0.191,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,5,2.956,0.178,0.111,0.111,0.01,0.039,0.159,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,10,2.064,0.125,0.06,0.06,0.01,0.039,0.108,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,15,1.186,0.072,0.01,0.01,0.01,0.039,0.058,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,20,1.013,0.061,0,0,0.01,0.039,0.048,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,25,1.149,0.069,-0.02,0.008,0.01,0.039,0.056,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.04,30,1.352,0.082,-0.049,0.019,0.01,0.039,0.067,0.011,0.011,0,0.059,0.059,59.699
2.626,lle_99,0,-0.013333333,-20,7.06,0.426,0.339,0.339,0.01,0.039,0.387,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,-15,6.087,0.367,0.283,0.283,0.01,0.039,0.331,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,-10,5.134,0.31,0.229,0.229,0.01,0.039,0.277,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,-5,4.199,0.253,0.175,0.175,0.01,0.039,0.223,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,0,3.638,0.219,0.143,0.143,0.01,0.039,0.191,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,5,3.086,0.186,0.111,0.111,0.01,0.039,0.159,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,10,2.194,0.132,0.06,0.06,0.01,0.039,0.108,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,15,1.316,0.079,0.01,0.01,0.01,0.039,0.058,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,20,1.142,0.069,0,0,0.01,0.039,0.048,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,25,1.279,0.077,-0.02,0.008,0.01,0.039,0.056,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,-0.013333333,30,1.482,0.089,-0.049,0.019,0.01,0.039,0.067,0.019,0.019,0,0.023,0.023,59.699
2.626,lle_99,0,0.013333333,-20,7.731,0.466,0.339,0.339,0.01,0.039,0.387,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,-15,6.758,0.408,0.283,0.283,0.01,0.039,0.331,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,-10,5.805,0.35,0.229,0.229,0.01,0.039,0.277,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,-5,4.87,0.294,0.175,0.175,0.01,0.039,0.223,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,0,4.308,0.26,0.143,0.143,0.01,0.039,0.191,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,5,3.757,0.227,0.111,0.111,0.01,0.039,0.159,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,10,2.864,0.173,0.06,0.06,0.01,0.039,0.108,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,15,1.987,0.12,0.01,0.01,0.01,0.039,0.058,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,20,1.813,0.109,0,0,0.01,0.039,0.048,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,25,1.95,0.118,-0.02,0.008,0.01,0.039,0.056,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.013333333,30,2.152,0.13,-0.049,0.019,0.01,0.039,0.067,0.059,0.059,0,0.02,0.02,59.699
2.626,lle_99,0,0.04,-20,8.497,0.513,0.339,0.339,0.01,0.039,0.387,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,-15,7.525,0.454,0.283,0.283,0.01,0.039,0.331,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,-10,6.571,0.397,0.229,0.229,0.01,0.039,0.277,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,-5,5.636,0.34,0.175,0.175,0.01,0.039,0.223,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,0,5.075,0.306,0.143,0.143,0.01,0.039,0.191,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,5,4.523,0.273,0.111,0.111,0.01,0.039,0.159,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,10,3.631,0.219,0.06,0.06,0.01,0.039,0.108,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,15,2.753,0.166,0.01,0.01,0.01,0.039,0.058,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,20,2.579,0.156,0,0,0.01,0.039,0.048,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,25,2.716,0.164,-0.02,0.008,0.01,0.039,0.056,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0,0.04,30,2.919,0.176,-0.049,0.019,0.01,0.039,0.067,0.105,0.105,0,0.023,0.023,59.699
2.626,lle_99,0.25,-0.04,-20,6.316,0.381,0.303,0.303,0.01,0.039,0.351,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,-15,5.343,0.322,0.247,0.247,0.01,0.039,0.295,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,-10,4.39,0.265,0.193,0.193,0.01,0.039,0.24,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,-5,3.455,0.208,0.139,0.139,0.01,0.039,0.187,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,0,2.894,0.175,0.107,0.107,0.01,0.039,0.155,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,5,2.342,0.141,0.075,0.075,0.01,0.039,0.123,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,10,1.45,0.087,0.024,0.024,0.01,0.039,0.072,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,15,1.215,0.073,-0.026,0.011,0.01,0.039,0.058,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,20,1.285,0.078,-0.036,0.015,0.01,0.039,0.062,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,25,1.421,0.086,-0.056,0.022,0.01,0.039,0.07,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.04,30,1.624,0.098,-0.085,0.034,0.01,0.039,0.082,0.012,0.012,0,0.065,0.065,59.699
2.626,lle_99,0.25,-0.013333333,-20,6.459,0.39,0.303,0.303,0.01,0.039,0.351,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,-15,5.487,0.331,0.247,0.247,0.01,0.039,0.295,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,-10,4.534,0.274,0.193,0.193,0.01,0.039,0.24,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,-5,3.599,0.217,0.139,0.139,0.01,0.039,0.187,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,0,3.037,0.183,0.107,0.107,0.01,0.039,0.155,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,5,2.486,0.15,0.075,0.075,0.01,0.039,0.123,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,10,1.593,0.096,0.024,0.024,0.01,0.039,0.072,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,15,1.359,0.082,-0.026,0.011,0.01,0.039,0.058,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,20,1.428,0.086,-0.036,0.015,0.01,0.039,0.062,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,25,1.565,0.094,-0.056,0.022,0.01,0.039,0.07,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,-0.013333333,30,1.768,0.107,-0.085,0.034,0.01,0.039,0.082,0.021,0.021,0,0.026,0.026,59.699
2.626,lle_99,0.25,0.013333333,-20,7.201,0.435,0.303,0.303,0.01,0.039,0.351,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,-15,6.229,0.376,0.247,0.247,0.01,0.039,0.295,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,-10,5.275,0.318,0.193,0.193,0.01,0.039,0.24,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,-5,4.34,0.262,0.139,0.139,0.01,0.039,0.187,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,0,3.778,0.228,0.107,0.107,0.01,0.039,0.155,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,5,3.227,0.195,0.075,0.075,0.01,0.039,0.123,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,10,2.335,0.141,0.024,0.024,0.01,0.039,0.072,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,15,2.1,0.127,-0.026,0.011,0.01,0.039,0.058,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,20,2.169,0.131,-0.036,0.015,0.01,0.039,0.062,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,25,2.306,0.139,-0.056,0.022,0.01,0.039,0.07,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.013333333,30,2.509,0.151,-0.085,0.034,0.01,0.039,0.082,0.065,0.065,0,0.022,0.022,59.699
2.626,lle_99,0.25,0.04,-20,8.048,0.486,0.303,0.303,0.01,0.039,0.351,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,-15,7.076,0.427,0.247,0.247,0.01,0.039,0.295,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,-10,6.123,0.369,0.193,0.193,0.01,0.039,0.24,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,-5,5.187,0.313,0.139,0.139,0.01,0.039,0.187,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,0,4.626,0.279,0.107,0.107,0.01,0.039,0.155,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,5,4.074,0.246,0.075,0.075,0.01,0.039,0.123,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,10,3.182,0.192,0.024,0.024,0.01,0.039,0.072,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,15,2.947,0.178,-0.026,0.011,0.01,0.039,0.058,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,20,3.017,0.182,-0.036,0.015,0.01,0.039,0.062,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,25,3.154,0.19,-0.056,0.022,0.01,0.039,0.07,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.25,0.04,30,3.356,0.203,-0.085,0.034,0.01,0.039,0.082,0.116,0.116,0,0.025,0.025,59.699
2.626,lle_99,0.5,-0.04,-20,5.702,0.344,0.267,0.267,0.01,0.039,0.314,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,-15,4.729,0.285,0.211,0.211,0.01,0.039,0.259,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,-10,3.776,0.228,0.156,0.156,0.01,0.039,0.204,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,-5,2.841,0.171,0.103,0.103,0.01,0.039,0.15,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,0,2.279,0.138,0.07,0.07,0.01,0.039,0.118,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,5,1.728,0.104,0.039,0.039,0.01,0.039,0.087,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,10,1.136,0.069,-0.012,0.005,0.01,0.039,0.053,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,15,1.487,0.09,-0.063,0.025,0.01,0.039,0.073,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,20,1.557,0.094,-0.073,0.029,0.01,0.039,0.077,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,25,1.694,0.102,-0.092,0.037,0.01,0.039,0.085,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.04,30,1.896,0.114,-0.121,0.048,0.01,0.039,0.096,0.013,0.013,0,0.072,0.072,59.699
2.626,lle_99,0.5,-0.013333333,-20,5.859,0.354,0.267,0.267,0.01,0.039,0.314,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,-15,4.887,0.295,0.211,0.211,0.01,0.039,0.259,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,-10,3.933,0.237,0.156,0.156,0.01,0.039,0.204,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,-5,2.998,0.181,0.103,0.103,0.01,0.039,0.15,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,0,2.437,0.147,0.07,0.07,0.01,0.039,0.118,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,5,1.885,0.114,0.039,0.039,0.01,0.039,0.087,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,10,1.294,0.078,-0.012,0.005,0.01,0.039,0.053,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,15,1.645,0.099,-0.063,0.025,0.01,0.039,0.073,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,20,1.714,0.103,-0.073,0.029,0.01,0.039,0.077,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,25,1.851,0.112,-0.092,0.037,0.01,0.039,0.085,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,-0.013333333,30,2.054,0.124,-0.121,0.048,0.01,0.039,0.096,0.023,0.023,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.013333333,-20,6.671,0.403,0.267,0.267,0.01,0.039,0.314,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,-15,5.699,0.344,0.211,0.211,0.01,0.039,0.259,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,-10,4.745,0.286,0.156,0.156,0.01,0.039,0.204,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,-5,3.81,0.23,0.103,0.103,0.01,0.039,0.15,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,0,3.249,0.196,0.07,0.07,0.01,0.039,0.118,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,5,2.697,0.163,0.039,0.039,0.01,0.039,0.087,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,10,2.105,0.127,-0.012,0.005,0.01,0.039,0.053,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,15,2.456,0.148,-0.063,0.025,0.01,0.039,0.073,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,20,2.526,0.152,-0.073,0.029,0.01,0.039,0.077,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,25,2.663,0.161,-0.092,0.037,0.01,0.039,0.085,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.013333333,30,2.865,0.173,-0.121,0.048,0.01,0.039,0.096,0.072,0.072,0,0.024,0.024,59.699
2.626,lle_99,0.5,0.04,-20,7.6,0.459,0.267,0.267,0.01,0.039,0.314,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,-15,6.627,0.4,0.211,0.211,0.01,0.039,0.259,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,-10,5.674,0.342,0.156,0.156,0.01,0.039,0.204,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,-5,4.739,0.286,0.103,0.103,0.01,0.039,0.15,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,0,4.177,0.252,0.07,0.07,0.01,0.039,0.118,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,5,3.626,0.219,0.039,0.039,0.01,0.039,0.087,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,10,3.034,0.183,-0.012,0.005,0.01,0.039,0.053,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,15,3.385,0.204,-0.063,0.025,0.01,0.039,0.073,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,20,3.454,0.208,-0.073,0.029,0.01,0.039,0.077,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,25,3.591,0.217,-0.092,0.037,0.01,0.039,0.085,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.5,0.04,30,3.794,0.229,-0.121,0.048,0.01,0.039,0.096,0.128,0.128,0,0.028,0.028,59.699
2.626,lle_99,0.75,-0.04,-20,5.087,0.307,0.23,0.23,0.01,0.039,0.278,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,-15,4.115,0.248,0.175,0.175,0.01,0.039,0.222,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,-10,3.162,0.191,0.12,0.12,0.01,0.039,0.168,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,-5,2.227,0.134,0.066,0.066,0.01,0.039,0.114,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,0,1.665,0.1,0.034,0.034,0.01,0.039,0.082,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,5,1.114,0.067,0.003,0.003,0.01,0.039,0.05,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,10,1.408,0.085,-0.049,0.019,0.01,0.039,0.067,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,15,1.759,0.106,-0.099,0.04,0.01,0.039,0.087,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,20,1.829,0.11,-0.109,0.044,0.01,0.039,0.091,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,25,1.966,0.119,-0.128,0.051,0.01,0.039,0.099,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.04,30,2.168,0.131,-0.158,0.063,0.01,0.039,0.111,0.014,0.014,0,0.078,0.078,59.699
2.626,lle_99,0.75,-0.013333333,-20,5.259,0.317,0.23,0.23,0.01,0.039,0.278,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,-15,4.286,0.259,0.175,0.175,0.01,0.039,0.222,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,-10,3.333,0.201,0.12,0.12,0.01,0.039,0.168,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,-5,2.398,0.145,0.066,0.066,0.01,0.039,0.114,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,0,1.836,0.111,0.034,0.034,0.01,0.039,0.082,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,5,1.285,0.078,0.003,0.003,0.01,0.039,0.05,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,10,1.579,0.095,-0.049,0.019,0.01,0.039,0.067,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,15,1.93,0.116,-0.099,0.04,0.01,0.039,0.087,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,20,2,0.121,-0.109,0.044,0.01,0.039,0.091,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,25,2.137,0.129,-0.128,0.051,0.01,0.039,0.099,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,-0.013333333,30,2.34,0.141,-0.158,0.063,0.01,0.039,0.111,0.025,0.025,0,0.031,0.031,59.699
2.626,lle_99,0.75,0.013333333,-20,6.141,0.371,0.23,0.23,0.01,0.039,0.278,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,-15,5.169,0.312,0.175,0.175,0.01,0.039,0.222,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,-10,4.216,0.254,0.12,0.12,0.01,0.039,0.168,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,-5,3.28,0.198,0.066,0.066,0.01,0.039,0.114,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,0,2.719,0.164,0.034,0.034,0.01,0.039,0.082,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,5,2.167,0.131,0.003,0.003,0.01,0.039,0.05,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,10,2.462,0.149,-0.049,0.019,0.01,0.039,0.067,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,15,2.813,0.17,-0.099,0.04,0.01,0.039,0.087,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,20,2.882,0.174,-0.109,0.044,0.01,0.039,0.091,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,25,3.019,0.182,-0.128,0.051,0.01,0.039,0.099,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.013333333,30,3.222,0.194,-0.158,0.063,0.01,0.039,0.111,0.078,0.078,0,0.027,0.027,59.699
2.626,lle_99,0.75,0.04,-20,7.151,0.431,0.23,0.23,0.01,0.039,0.278,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,-15,6.178,0.373,0.175,0.175,0.01,0.039,0.222,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,-10,5.225,0.315,0.12,0.12,0.01,0.039,0.168,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,-5,4.29,0.259,0.066,0.066,0.01,0.039,0.114,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,0,3.728,0.225,0.034,0.034,0.01,0.039,0.082,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,5,3.177,0.192,0.003,0.003,0.01,0.039,0.05,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,10,3.471,0.209,-0.049,0.019,0.01,0.039,0.067,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,15,3.822,0.231,-0.099,0.04,0.01,0.039,0.087,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,20,3.892,0.235,-0.109,0.044,0.01,0.039,0.091,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,25,4.028,0.243,-0.128,0.051,0.01,0.039,0.099,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,0.75,0.04,30,4.231,0.255,-0.158,0.063,0.01,0.039,0.111,0.139,0.139,0,0.03,0.03,59.699
2.626,lle_99,1,-0.04,-20,4.473,0.27,0.194,0.194,0.01,0.039,0.242,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,-15,3.501,0.211,0.138,0.138,0.01,0.039,0.186,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,-10,2.548,0.154,0.084,0.084,0.01,0.039,0.131,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,-5,1.613,0.097,0.03,0.03,0.01,0.039,0.078,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,0,1.11,0.067,-0.002,0.001,0.01,0.039,0.049,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,5,1.323,0.08,-0.034,0.013,0.01,0.039,0.061,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,10,1.68,0.101,-0.085,0.034,0.01,0.039,0.082,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,15,2.031,0.123,-0.135,0.054,0.01,0.039,0.102,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,20,2.101,0.127,-0.145,0.058,0.01,0.039,0.106,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,25,2.238,0.135,-0.165,0.066,0.01,0.039,0.114,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.04,30,2.44,0.147,-0.194,0.078,0.01,0.039,0.125,0.015,0.015,0,0.084,0.084,59.699
2.626,lle_99,1,-0.013333333,-20,4.658,0.281,0.194,0.194,0.01,0.039,0.242,0.027,0.027,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,-15,3.686,0.222,0.138,0.138,0.01,0.039,0.186,0.027,0.027,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,-10,2.733,0.165,0.084,0.084,0.01,0.039,0.131,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,-5,1.797,0.108,0.03,0.03,0.01,0.039,0.078,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,0,1.295,0.078,-0.002,0.001,0.01,0.039,0.049,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,5,1.508,0.091,-0.034,0.013,0.01,0.039,0.061,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,10,1.865,0.113,-0.085,0.034,0.01,0.039,0.082,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,15,2.216,0.134,-0.135,0.054,0.01,0.039,0.102,0.026,0.026,0,0.033,0.033,59.699
2.626,lle_99,1,-0.013333333,20,2.286,0.138,-0.145,0.058,0.01,0.039,0.106,0.026,0.026,0,0.033,0.033,59.699
