INFO 2025-04-04 12:52:09,734 Watching for file changes with StatReloader
INFO 2025-04-04 13:04:22,708 "GET /static/core/images/WB.svg HTTP/1.1" 200 1516
INFO 2025-04-04 13:04:23,064 "GET /simba/progress2/32aef3d0-6d7f-4f3c-b661-60459bdcce2b/progress_trips.html/ HTTP/1.1" 286 473
INFO 2025-04-04 13:05:56,095 "GET /simba/trips/a58f6869-c689-42e1-8b40-a3be51063443/1 HTTP/1.1" 200 33466
INFO 2025-04-04 13:05:56,191 "GET /static/htmx.min.js HTTP/1.1" 200 48102
INFO 2025-04-04 13:05:56,194 "GET /static/templates/js/custom.js HTTP/1.1" 200 1960
INFO 2025-04-04 13:05:56,204 "GET /static/popper.js HTTP/1.1" 200 63070
INFO 2025-04-04 13:05:56,205 "GET /static/bootstrap.min.js HTTP/1.1" 200 60636
INFO 2025-04-04 13:05:56,207 "GET /static/class-tools.js HTTP/1.1" 200 3294
INFO 2025-04-04 13:05:56,212 "GET /static/jquery.min.js HTTP/1.1" 200 87462
INFO 2025-04-04 13:05:56,213 "GET /static/nouislider.min.css HTTP/1.1" 200 4220
INFO 2025-04-04 13:05:56,224 "GET /static/css/dist/styles.css?v=1743771956 HTTP/1.1" 200 61333
INFO 2025-04-04 13:05:56,231 "GET /static/nouislider.min.js HTTP/1.1" 200 27744
INFO 2025-04-04 13:05:56,233 "GET /static/chart.umd.js HTTP/1.1" 200 205615
INFO 2025-04-04 13:05:56,245 "GET /static/core/images/logo/webus_green.svg HTTP/1.1" 200 4688
INFO 2025-04-04 13:05:56,259 "GET /static/ebustoolbox/js/file_drop_zone_handling.js HTTP/1.1" 200 2918
WARNING 2025-04-04 13:05:56,281 "GET /static/bootstrap.min.js.map HTTP/1.1" 404 1874
WARNING 2025-04-04 13:05:56,281 "GET /static/popper.js.map HTTP/1.1" 404 1853
INFO 2025-04-04 13:05:56,396 "GET /static/core/fonts/Inter_18pt-Regular.ttf HTTP/1.1" 200 342680
WARNING 2025-04-04 13:05:56,401 "GET /static/chart.umd.js.map HTTP/1.1" 404 1862
INFO 2025-04-04 13:05:56,408 "GET /static/core/fonts/Inter_18pt-Light.ttf HTTP/1.1" 200 343704
